EURONEXT/CMA,Ciments Francais (CMA)
EURONEXT/CIM,Cimescaut (CIM)
EURONEXT/HEIJM,Heijmans (HEIJM)
EURONEXT/HLCLL,Helical Bar (HLCLL)
EURONEXT/HENX,Henex (HENX)
EURONEXT/CIRM,Cir Cie Industrial (CIRM)
EURONEXT/HMBS,Hennes & Mauritz B (HMBS)
EURONEXT/CU,Club Mediterranee (CU)
EURONEXT/MLCJS,Cjs Plv (MLCJS)
EURONEXT/COM,Cnim Constr Frf 10 (COM)
EURONEXT/CHGL,Chemring Group (CHGL)
EURONEXT/CLF,Cliffs (CLF)
EURONEXT/CNP,Cnp Assurances (CNP)
EURONEXT/CFN,Cofina Sgps (CFN)
EURONEXT/ALHER,Heracles (ALHER)
EURONEXT/ALCOF,Cofidur (ALCOF)
EURONEXT/COFM,Cofide (COFM)
EURONEXT/HAVBR,Havbsaar2015 (HAVBR)
EURONEXT/HF,Hf (HF)
EURONEXT/HIM,Hi-media (HIM)
EURONEXT/HES,Hes Beheer (HES)
EURONEXT/COFP2,Cofinimmo Priv2 (COFP2)
EURONEXT/HOILL,Heritage Oil Plc (HOILL)
EURONEXT/ALHPC,Heurtey Petrochem (ALHPC)
EURONEXT/COH,Coheris (COH)
EURONEXT/HIBUL,Hibu Plc (HIBUL)
EURONEXT/ALCOI,Coil (ALCOI)
EURONEXT/COLTL,Colt Group (COLTL)
EURONEXT/HIKL,Hikma Pharmaceutic (HIKL)
EURONEXT/HCO,High Co (HCO)
EURONEXT/ALHIO,Hiolle Industries (ALHIO)
EURONEXT/ALGCM,Concoursmania (ALGCM)
EURONEXT/COMAE,Compta (COMAE)
EURONEXT/HOCL,Hochschild Mining (HOCL)
EURONEXT/HOMI,Home Invest Be (HOMI)
EURONEXT/MLHOT,Hotelim (MLHOT)
EURONEXT/CSTM,Constellium (CSTM)
EURONEXT/ALHOM,Homair Vacances (ALHOM)
EURONEXT/MLHIN,Hotl Immob Nice (MLHIN)
EURONEXT/HSB,Hsbc Holdings (HSB)
EURONEXT/HWDNL,Howden Joinery Gro (HWDNL)
EURONEXT/CRBN,Corbion (CRBN)
EURONEXT/CLB,Core Laboratories (CLB)
EURONEXT/BOSSD,Hugo Boss (BOSSD)
EURONEXT/CORA,Corio (CORA)
EURONEXT/COR,Corticeira Amorim (COR)
EURONEXT/HUNDP,Hunter Douglas (HUNDP)
EURONEXT/CRAP,Crcam Alp Prov Cci (CRAP)
EURONEXT/MLHYE,Hydro-exploit (MLHYE)
EURONEXT/IBAB,Iba (IBAB)
EURONEXT/IBMA,Ibm (IBMA)
EURONEXT/HYDRA,Hydratec (HYDRA)
EURONEXT/CIV,Crcam Ille-vil Cci (CIV)
EURONEXT/IBMC,Ibm Cert (IBMC)
EURONEXT/CMO,Crcam Morbihan Cci (CMO)
EURONEXT/CCN,Crcam Norm Seine (CCN)
EURONEXT/CAF,Crcam Paris Et Idf (CAF)
EURONEXT/ICPL,Icg (ICPL)
EURONEXT/CROS,Crosswood (CROS)
EURONEXT/CVG,Crown Van Gelder (CVG)
EURONEXT/ALCRM,Crm Company Group (ALCRM)
EURONEXT/CRGL,Crh Plc (CRGL)
EURONEXT/ACA,Credit Agricole (ACA)
EURONEXT/IDIP,Idi (IDIP)
EURONEXT/IDL,Id Logistics Group (IDL)
EURONEXT/CSGNZ,Cs Group N (CSGNZ)
EURONEXT/CTAC,Ctac (CTAC)
EURONEXT/ALIDS,Idsud (ALIDS)
EURONEXT/IGGL,Ig Group Holdings (IGGL)
EURONEXT/IGE,Ige + Xao (IGE)
EURONEXT/ILD,Iliad (ILD)
EURONEXT/ALDLS,D L S I (ALDLS)
EURONEXT/DJANL,Daejan Holdings (DJANL)
EURONEXT/IMGL,Ima Tech Gpr (IMGL)
EURONEXT/IMMOU,Immo Moury (IMMOU)
EURONEXT/DAID,Daimler (DAID)
EURONEXT/IMDA,Immob Dassault (IMDA)
EURONEXT/IEAV,Immoeast (IEAV)
EURONEXT/DCGL,Dairy Crest Group (DCGL)
EURONEXT/DLT,Dalet (DLT)
EURONEXT/IMSM,Immsi (IMSM)
EURONEXT/IPR,Impresa Sgps (IPR)
EURONEXT/ALDAR,Damartex (ALDAR)
EURONEXT/INCHL,Inchcape (INCHL)
EURONEXT/DRTY,Darty Plc (DRTY)
EURONEXT/DRTYL,Darty Plc (DRTYL)
EURONEXT/INFE,Indle Fin Entrepr (INFE)
EURONEXT/DALM,Datalogic (DALM)
EURONEXT/IDRE,Indra Sistemas (IDRE)
EURONEXT/INFL,Informa (INFL)
EURONEXT/MLSAT,Infosat Telecom Sa (MLSAT)
EURONEXT/INF,Infotel (INF)
EURONEXT/DBV,Dbv Technologies (DBV)
EURONEXT/ING,Ingenico Group (ING)
EURONEXT/DLARL,De La Rue (DLARL)
EURONEXT/ALROU,De Rouck Geo (ALROU)
EURONEXT/ALDEL,Delfingen (ALDEL)
EURONEXT/INGS,Ing Groep Cert (INGS)
EURONEXT/ALDEI,Deinove (ALDEI)
EURONEXT/MLDDP,Deauville Diamond (MLDDP)
EURONEXT/ITP,Interparfums (ITP)
EURONEXT/DELB,Delhaize Group (DELB)
EURONEXT/DL,Delta Lloyd (DL)
EURONEXT/ALDR,Delta Drone (ALDR)
EURONEXT/INTO,Intervest Off-ware (INTO)
EURONEXT/ITRKL,Intertek Group (ITRKL)
EURONEXT/DMOBR,Demosbsar28jul16 (DMOBR)
EURONEXT/ALDMO,Demos (ALDMO)
EURONEXT/ITXT,Intexa (ITXT)
EURONEXT/IPFL,Intl Personal Fin (IPFL)
EURONEXT/DBG,Derichebourg (DBG)
EURONEXT/DLNL,Derwent London (DLNL)
EURONEXT/IPN,Ipsen (IPN)
EURONEXT/INVEBS,Investor B (INVEBS)
EURONEXT/INVPL,Investec (INVPL)
EURONEXT/IPS,Ipsos (IPS)
EURONEXT/DTED,Deutsche Telekom (DTED)
EURONEXT/DTEL,Deutsche Telekom (DTEL)
EURONEXT/IREM,Iren (IREM)
EURONEXT/DIEG,Diegem Kennedycert (DIEG)
EURONEXT/DGEL,Diageo (DGEL)
EURONEXT/DPBD,Deutsche Postbank (DPBD)
EURONEXT/DWNID,Deutsche Wohnen P (DWNID)
EURONEXT/DEVR,Devernois (DEVR)
EURONEXT/ITRM,Italcementi (ITRM)
EURONEXT/DABL,Dexion Absolut Gbp (DABL)
EURONEXT/DIG,Digigram (DIG)
EURONEXT/ITS,Its Group (ITS)
EURONEXT/ALDIR,Direct Energie (ALDIR)
EURONEXT/ITVL,Itv (ITVL)
EURONEXT/ITE,Itesoft (ITE)
EURONEXT/JMT,J Martins Sgps (JMT)
EURONEXT/JCQ,Jacquet Metal Sce (JCQ)
EURONEXT/DKSHZ,Dksh Holding (DKSHZ)
EURONEXT/JEN,Jensen-group (JEN)
EURONEXT/JAIL,Jp Morgan Asian It (JAIL)
EURONEXT/ALSDL,Dl Software (ALSDL)
EURONEXT/GILD,Dmg Mori Seiki Ag (GILD)
EURONEXT/DNX,Dnxcorp (DNX)
EURONEXT/ALDOL,Dolphin Integrat (ALDOL)
EURONEXT/JIIL,Jpmorgan Indian In (JIIL)
EURONEXT/MLDOM,Domia Group (MLDOM)
EURONEXT/BAERZ,Julius Baer Gruppe (BAERZ)
EURONEXT/MLJSA,Jsa Technology (MLJSA)
EURONEXT/KOF,Kaufman Et Broad (KOF)
EURONEXT/DPA,Dpa Group (DPA)
EURONEXT/KCOML,Kcom Group (KCOML)
EURONEXT/DSM,Dsm Kon (DSM)
EURONEXT/DRID,Drillisch (DRID)
EURONEXT/DUPP,Du Pont De Nemours (DUPP)
EURONEXT/KLRL,Keller Grp (KLRL)
EURONEXT/DIGL,Dunedin Income Gro (DIGL)
EURONEXT/EOAND,E On Se (EOAND)
EURONEXT/ESF,E Santo Financial (ESF)
EURONEXT/ALEZV,Easyvista (ALEZV)
EURONEXT/KENZL,Kentz Corporation (KENZL)
EURONEXT/EZBG,Eckert-ziegler Bg (EZBG)
EURONEXT/KER,Kering (KER)
EURONEXT/ECWOL,Ecofin Wat&pow Opp (ECWOL)
EURONEXT/MLECO,Ecolutions (MLECO)
EURONEXT/MLGRA,Editions Granada (MLGRA)
EURONEXT/EDINL,Edinburgh Investme (EDINL)
EURONEXT/GID,Egide (GID)
EURONEXT/KEY,Keyrus (KEY)
EURONEXT/KIEL,Kier Group (KIEL)
EURONEXT/EFGNZ,Efg International (EFGNZ)
EURONEXT/MLKIM,Kimoce (MLKIM)
EURONEXT/KIND,Kindy (KIND)
EURONEXT/KFXL,Kofax (KFXL)
EURONEXT/KORI,Korian (KORI)
EURONEXT/MLEDU,Eduniversal (MLEDU)
EURONEXT/EKI,Ekinops (EKI)
EURONEXT/ELTAL,Electra Private Eq (ELTAL)
EURONEXT/ALKEY,Keyyo (ALKEY)
EURONEXT/ECML,Electrocomponents (ECML)
EURONEXT/KRND,Krones (KRND)
EURONEXT/KOR,Kortrijk Shop Cert (KOR)
EURONEXT/KLEDS,Kungsleden (KLEDS)
EURONEXT/LI,Klepierre (LI)
EURONEXT/KPN,Kpn Kon (KPN)
EURONEXT/OR,L''oreal (OR)
EURONEXT/ELML,Elementis (ELML)
EURONEXT/ALEMK,Emakina Group (ALEMK)
EURONEXT/LXSD,Lanxess (LXSD)
EURONEXT/ENCE,Ence Energ Y Celul (ENCE)
EURONEXT/EME,Emme (EME)
EURONEXT/ENGE,Enagas (ENGE)
EURONEXT/MLENE,Eneovia (MLENE)
EURONEXT/LNA,Lna Sante (LNA)
EURONEXT/LTAN,Le Tanneur (LTAN)
EURONEXT/ENGM,Engineering Ingegn (ENGM)
EURONEXT/LBON,Lebon (LBON)
EURONEXT/ETIL,Enterprise Inns (ETIL)
EURONEXT/LSS,Lectra (LSS)
EURONEXT/ALGUI,Leguide Com (ALGUI)
EURONEXT/LR,Legrand (LR)
EURONEXT/LEOD,Leoni (LEOD)
EURONEXT/LNZV,Lenzing (LNZV)
EURONEXT/ALLHB,Les Hotels Baverez (ALLHB)
EURONEXT/MLLEO,Leon Grosse (MLLEO)
EURONEXT/ALEO2,Eo2 (ALEO2)
EURONEXT/LNC,Lesnxconstructeurs (LNC)
EURONEXT/ALENT,Entreparticuliers (ALENT)
EURONEXT/ERYP,Erytech Pharma (ERYP)
EURONEXT/ESI,Esi Group (ESI)
EURONEXT/ESSRL,Essar Energy (ESSRL)
EURONEXT/LISPZ,Lindt And Spruengl (LISPZ)
EURONEXT/FLTRL,Essentra (FLTRL)
EURONEXT/LIG,Lisgrafica (LIG)
EURONEXT/MLEST,Est Republicain (MLEST)
EURONEXT/MLLOI,Locasystem Intl (MLLOI)
EURONEXT/ESO,Estoril Sol P (ESO)
EURONEXT/ELE,Euler Hermes Group (ELE)
EURONEXT/MLLCS,Locasolog (MLLCS)
EURONEXT/ERMO,Etu Reali Moules (ERMO)
EURONEXT/LLOYL,Lloyds Banking Grp (LLOYL)
EURONEXT/LMPL,Londonmetric Prope (LMPL)
EURONEXT/LMIL,Lonmin (LMIL)
EURONEXT/RF,Eurazeo (RF)
EURONEXT/ALLP,Login People (ALLP)
EURONEXT/LIT,Litho Formas (LIT)
EURONEXT/ECMPA,Eurocommercial (ECMPA)
EURONEXT/EROBS,Euroland Corp Bs (EROBS)
EURONEXT/LSEL,London Stock Exch (LSEL)
EURONEXT/ALLOG,Logic Instrument (ALLOG)
EURONEXT/LUPES,Lundin Petroleum (LUPES)
EURONEXT/ERF,Eurofins Scient (ERF)
EURONEXT/ERML,Euromoney Inst Inv (ERML)
EURONEXT/LUXA,Lux-airport Cert (LUXA)
EURONEXT/EURN,Euronav (EURN)
EURONEXT/EUR,Euro Ressources (EUR)
EURONEXT/EI,Essilor Intl (EI)
EURONEXT/MLERI,Eurinnov (MLERI)
EURONEXT/ALEUP,Europlasma (ALEUP)
EURONEXT/ECP,Europacorp (ECP)
EURONEXT/ETL,Eutelsat Communic (ETL)
EURONEXT/MAC,Machelen Cert (MAC)
EURONEXT/EVNV,Evn (EVNV)
EURONEXT/MACIN,Macintosh Retail (MACIN)
EURONEXT/MLMAD,Made (MLMAD)
EURONEXT/MAPE,Mapfre (MAPE)
EURONEXT/MLMGL,Magillem (MLMGL)
EURONEXT/MALT,Malteries Fco-bel (MALT)
EURONEXT/ALMAK,Makheia Group (ALMAK)
EURONEXT/MACK,Machelen Kuur Cert (MACK)
EURONEXT/ALMKZ,Leadmedia Group (ALMKZ)
EURONEXT/ALTVO,Evolis (ALTVO)
EURONEXT/MAN,Manutan Intl (MAN)
EURONEXT/MTU,Manitou Bf (MTU)
EURONEXT/ERSC,Eurosic (ERSC)
EURONEXT/EXACT,Exact Holding (EXACT)
EURONEXT/EXE,Exel Industries (EXE)
EURONEXT/IAM,Maroc Telecom (IAM)
EURONEXT/EXOM,Exor Ord (EXOM)
EURONEXT/EXPL,Explosifs Prod Chi (EXPL)
EURONEXT/FCPTL,F And C Commercial (FCPTL)
EURONEXT/FCAML,F&c Asset Managemt (FCAML)
EURONEXT/MLFMM,Martin Maurel(fin) (MLFMM)
EURONEXT/ALMAX,Bilendi (ALMAX)
EURONEXT/MLFAC,Facilasol Group (MLFAC)
EURONEXT/MAU,Maurel Et Prom (MAU)
EURONEXT/MCBL,Mcbride (MCBL)
EURONEXT/LEY,Faiveley Transport (LEY)
EURONEXT/EO,Faurecia (EO)
EURONEXT/FKRM,Falk Renewables Sp (FKRM)
EURONEXT/MLMAY,Mayinlay Jewellery (MLMAY)
EURONEXT/FAUV,Fauvet Girel (FAUV)
EURONEXT/FDL,Fdl (FDL)
EURONEXT/FENRL,Fenner (FENRL)
EURONEXT/MCLC,Mecelec (MCLC)
EURONEXT/FCMC,Ferm Cas Mun Canne (FCMC)
EURONEXT/MEDAAS,Meda A (MEDAAS)
EURONEXT/FERE,Ferrovial (FERE)
EURONEXT/FFP,Ffp (FFP)
EURONEXT/FDSAL,Fidessa Group (FDSAL)
EURONEXT/MED,Medasys (MED)
EURONEXT/EMG,Euromedis Groupe (EMG)
EURONEXT/MEDE,Medea (MEDE)
EURONEXT/SACI,Fiducial Off Sol (SACI)
EURONEXT/ORIA,Fiducial Real Est (ORIA)
EURONEXT/FIED,Fielmann (FIED)
EURONEXT/MDXH,Mdxhealth (MDXH)
EURONEXT/ALFIG,Figeac Aero (ALFIG)
EURONEXT/ALMED,Medicrea Internat (ALMED)
EURONEXT/EBPF,Fin Etang Berre Pf (EBPF)
EURONEXT/BERR,Fin Etang Berre (BERR)
EURONEXT/MEDM,Mediolanum (MEDM)
EURONEXT/FINE,Finest (FINE)
EURONEXT/FIPP,Fipp (FIPP)
EURONEXT/MLFIR,Firstcaution (MLFIR)
EURONEXT/MEMS,Memscap Regpt (MEMS)
EURONEXT/MRCL,Mercantile It (MRCL)
EURONEXT/MLFXO,Finaxo (MLFXO)
EURONEXT/FSJL,Fisher James&sons (FSJL)
EURONEXT/FIT,Fitor (FIT)
EURONEXT/MERY,Mercialys (MERY)
EURONEXT/MRNNV,Mersen Nv18 (MRNNV)
EURONEXT/MRKD,Merck Kgaa (MRKD)
EURONEXT/METEX,Metabolic Explorer (METEX)
EURONEXT/FLUX,Fluxys Belgium D (FLUX)
EURONEXT/MEO1VH,Metso (MEO1VH)
EURONEXT/FLOB,Floridienne (FLOB)
EURONEXT/MLMED,Meubles Delias (MLMED)
EURONEXT/FDR,Fonc Des Regions (FDR)
EURONEXT/MMT,Metropole Tv (MMT)
EURONEXT/FMU,Fonciere Des Murs (FMU)
EURONEXT/FATL,Fonciere Atland (FATL)
EURONEXT/SRG,Fonciere 6 Et 7 (SRG)
EURONEXT/ALMGI,Mg International (ALMGI)
EURONEXT/MGIC,Mgi Coutier (MGIC)
EURONEXT/ROSA,Medtech (ROSA)
EURONEXT/FLY,Fonciere Lyonnaise (FLY)
EURONEXT/INEA,Fonciere Inea (INEA)
EURONEXT/SPRIC,Fonciere Sepric (SPRIC)
EURONEXT/MPIL,Michael Page Intl (MPIL)
EURONEXT/FORDP,Ford Motor (FORDP)
EURONEXT/ML,Michelin (ML)
EURONEXT/ALMDG,Mgi Digital Graphi (ALMDG)
EURONEXT/F,Ford Motor Cert (F)
EURONEXT/MUNBR,Microbsar15dec18 (MUNBR)
EURONEXT/MLFTC,Forg Trie Chateau (MLFTC)
EURONEXT/MLCL,Millennium & Copth (MLCL)
EURONEXT/ALFPC,Fountaine Pajot (ALFPC)
EURONEXT/MILNR,Millimages Nr (MILNR)
EURONEXT/FOEO,Fred Olsen Energy (FOEO)
EURONEXT/FRESL,Fresnillo (FRESL)
EURONEXT/MTOL,Mitie Group (MTOL)
EURONEXT/OPBSR,G Open Bsaar1014 (OPBSR)
EURONEXT/GFSL,G4s Plc (GFSL)
EURONEXT/GFJD,Gagfah (GFJD)
EURONEXT/MLGAI,G A I (MLGAI)
EURONEXT/FCP,Fut Clube Porto (FCP)
EURONEXT/FUR,Fugro (FUR)
EURONEXT/MLPD,Mlp (MLPD)
EURONEXT/MLMNR,Mnr Group (MLMNR)
EURONEXT/GLPG,Galapagos (GLPG)
EURONEXT/MNDIL,Mondi Plc (MNDIL)
EURONEXT/GFT,Gameloft Se (GFT)
EURONEXT/BMPSM,Monte Paschi Siena (BMPSM)
EURONEXT/MFG,Montaigne Fashion (MFG)
EURONEXT/GAM,Gaumont (GAM)
EURONEXT/MONT,Montea C V A (MONT)
EURONEXT/MON,Montupet (MON)
EURONEXT/RUSAL,Gds (s) Rusal (RUSAL)
EURONEXT/GBLB,Gbl (GBLB)
EURONEXT/MGCRL,Morgan Advanced Ma (MGCRL)
EURONEXT/GAUBS,Gaussin Bsar (GAUBS)
EURONEXT/GFC,Gecina Nom (GFC)
EURONEXT/MRWL,Morrison Supermark (MRWL)
EURONEXT/GEBC,General Elect Cert (GEBC)
EURONEXT/GSZ,Gdf Suez (GSZ)
EURONEXT/MTCL,Mothercare (MTCL)
EURONEXT/GENX,Generix Group Fce (GENX)
EURONEXT/MRB,Mr Bricolage (MRB)
EURONEXT/ALGFT,Genfit (ALGFT)
EURONEXT/MLMTD,Mtd Finance (MLMTD)
EURONEXT/MUV2D,Munich Re (MUV2D)
EURONEXT/ALGEN,Genoway (ALGEN)
EURONEXT/NANO,Nanobiotix (NANO)
EURONEXT/NBPE,Nb Priv Eq Partn (NBPE)
EURONEXT/KN,Natixis (KN)
EURONEXT/GIVNZ,Givaudan N (GIVNZ)
EURONEXT/MLGEO,Georex Prov Regpt (MLGEO)
EURONEXT/NEDAP,Nedap (NEDAP)
EURONEXT/GETIBS,Getinge B (GETIBS)
EURONEXT/FED,Giorgio Fedon (FED)
EURONEXT/GLO,Gl Events (GLO)
EURONEXT/GENK,Genk Logist Cert (GENK)
EURONEXT/GSKL,Glaxosmithkline (GSKL)
EURONEXT/NESTS,Nestle (NESTS)
EURONEXT/NERG,Nergeco (NERG)
EURONEXT/MLGE,Global Equities Cm (MLGE)
EURONEXT/NESNZ,Nestle Nom (NESNZ)
EURONEXT/NTG,Netgem (NTG)
EURONEXT/NEX,Nexans (NEX)
EURONEXT/GFLBC,Goldfields Cert (GFLBC)
EURONEXT/ALNEX,Nexeya (ALNEX)
EURONEXT/ALGLD,Gold By Gold (ALGLD)
EURONEXT/MLGLO,Global Interface (MLGLO)
EURONEXT/GISBS,Globalisbsadec2015 (GISBS)
EURONEXT/GLOG,Global Graphics (GLOG)
EURONEXT/GT,Goodyear Cert (GT)
EURONEXT/NTON,Newton 21 Europe (NTON)
EURONEXT/GPE,Gpe Group Pizzorno (GPE)
EURONEXT/NXI,Nexity (NXI)
EURONEXT/NXTV,Nextradiotv (NXTV)
EURONEXT/NICEM,Nice (NICEM)
EURONEXT/COX,Nicox (COX)
EURONEXT/NISTI,Nieuwe Steen Inv (NISTI)
EURONEXT/GRYFO,Greenyard Foods (GRYFO)
EURONEXT/NSGO,Norske Skog (NSGO)
EURONEXT/NRE1VH,Nokian Renkaat (NRE1VH)
EURONEXT/NBA,Novabase Sgps (NBA)
EURONEXT/NDAS,Nordea Bank (sek) (NDAS)
EURONEXT/MLNOV,Novatech Ind (MLNOV)
EURONEXT/NTGL,Northgate (NTGL)
EURONEXT/CEN,Groupe Crit (CEN)
EURONEXT/GSP,Groupe Go Sport (GSP)
EURONEXT/MLSIS,Groupe Caspera (MLSIS)
EURONEXT/FNADA,Groupe Fnac Da (FNADA)
EURONEXT/NSGP,Nsc Groupe (NSGP)
EURONEXT/ALNSE,Nse (ALNSE)
EURONEXT/PARP,Groupe Partouche (PARP)
EURONEXT/ALODI,O2i (ALODI)
EURONEXT/NUO,Nutreco (NUO)
EURONEXT/NYR,Nyrstar (NYR)
EURONEXT/MLPVG,Groupe Plus-values (MLPVG)
EURONEXT/OIM,Oim (OIM)
EURONEXT/MLOLM,Olmix (MLOLM)
EURONEXT/RIA,Groupe Steria (RIA)
EURONEXT/ALIMO,Groupimo (ALIMO)
EURONEXT/ORA,Orange (ORA)
EURONEXT/GBT,Guerbet (GBT)
EURONEXT/HFDL,Halfords Group (HFDL)
EURONEXT/HAL,Hal Trust (HAL)
EURONEXT/MLRIV,Groupe Rivalis (MLRIV)
EURONEXT/LUNC,H Lundbeck (LUNC)
EURONEXT/ALHEO,H2o Innovation Inc (ALHEO)
EURONEXT/ESM,Gruppo Editoriale (ESM)
EURONEXT/KAZI,Orchestra-premaman (KAZI)
EURONEXT/HHFAD,Hamburger Hafen (HHFAD)
EURONEXT/HMSOL,Hammerson Reit (HMSOL)
EURONEXT/ORCOW,Orcobsaar1219 (ORCOW)
EURONEXT/SBT,Oeneo (SBT)
EURONEXT/OREGE,Orege (OREGE)
EURONEXT/ALORO,Orolia (ALORO)
EURONEXT/ORIS,Oriflame Cosm Sdb (ORIS)
EURONEXT/OUT1VH,Outokumpu Oyj A (OUT1VH)
EURONEXT/HNR1D,Hannover Rueck Se (HNR1D)
EURONEXT/OXIGL,Oxford Instruments (OXIGL)
EURONEXT/MLPGO,P G O Automobiles (MLPGO)
EURONEXT/ALHVS,Harvest (ALHVS)
EURONEXT/HVPE,Harbourvest Hvgpe (HVPE)
EURONEXT/HLL,Hargreaves Lansdow (HLL)
EURONEXT/HEID,Heidelbergcement (HEID)
EURONEXT/PARD,Pairi Daiza (PARD)
EURONEXT/PTC,P Telecom (PTC)
EURONEXT/PLSI,Paddy Power (PLSI)
EURONEXT/HEIO,Heineken Holding (HEIO)
EURONEXT/PAR,Paref (PAR)
EURONEXT/HEIA,Heineken (HEIA)
EURONEXT/PAGL,Paragon Group (PAGL)
EURONEXT/HGGL,Henderson Group (HGGL)
EURONEXT/PAOR,Paris-orleans (PAOR)
EURONEXT/PARRO,Parrot (PARRO)
EURONEXT/HEN3D,Henkel (HEN3D)
EURONEXT/MLHOP,Part Indles Mini (MLHOP)
EURONEXT/PAT,Patrimoine Et Comm (PAT)
EURONEXT/PSAT,Passat (PSAT)
EURONEXT/PAYL,Paypoint (PAYL)
EURONEXT/HERNR,Heracles Nr (HERNR)
EURONEXT/HERM,Hera (HERM)
EURONEXT/PCA,Pcas (PCA)
EURONEXT/PCBB,Pcb (PCBB)
EURONEXT/PNNL,Pennon Group (PNNL)
EURONEXT/RMS,Hermes Intl (RMS)
EURONEXT/PEP,Pepsico (PEP)
EURONEXT/RI,Pernod Ricard (RI)
EURONEXT/PLIL,Perpetual Inc & Gr (PLIL)
EURONEXT/PERL,Perform Group Plc (PERL)
EURONEXT/MLPIV,Petro Ivoire (MLPIV)
EURONEXT/HFBS,Hf Bsaar 02aug2014 (HFBS)
EURONEXT/UG,Peugeot (UG)
EURONEXT/ALHIT,Hitechpros (ALHIT)
EURONEXT/PHA,Pharmagest Inter (PHA)
EURONEXT/HOLNZ,Holcim N (HOLNZ)
EURONEXT/PHARM,Pharming Group (PHARM)
EURONEXT/HOTD,Hochtief (HOTD)
EURONEXT/ALPHX,Phenix Systems (ALPHX)
EURONEXT/HOMEL,Home Retail Group (HOMEL)
EURONEXT/HOLCO,Holland Colours (HOLCO)
EURONEXT/ALHOL,Holosfind (ALHOL)
EURONEXT/HOR,Horizon Cert (HOR)
EURONEXT/HSVL,Homeserve (HSVL)
EURONEXT/HDP,Hotels De Paris (HDP)
EURONEXT/PIAM,Piaggio & C (PIAM)
EURONEXT/PIC,Picanol (PIC)
EURONEXT/HSBAL,Hsbc Holdings (HSBAL)
EURONEXT/MLPHW,Phone Web (MLPHW)
EURONEXT/PCM,Pirelli & C (PCM)
EURONEXT/MLPLC,Placoplatre (MLPLC)
EURONEXT/MLPAT,Plant Advanced T (MLPAT)
EURONEXT/HBW,Hubwoo (HBW)
EURONEXT/HCL,Huis Clos (HCL)
EURONEXT/HDG,Hunter Douglas (HDG)
EURONEXT/MLPOL,Pol-roger Champagn (MLPOL)
EURONEXT/PNSB,Pns (PNSB)
EURONEXT/HUSQBS,Husqvarna B (HUSQBS)
EURONEXT/POLYL,Polymetal Internat (POLYL)
EURONEXT/PONY,Poncin Yachts (PONY)
EURONEXT/PAH3D,Porsche Automobil (PAH3D)
EURONEXT/MLHYD,Hydraulique Pb (MLHYD)
EURONEXT/HTGL,Hunting (HTGL)
EURONEXT/ALI2S,I2s (ALI2S)
EURONEXT/ALHYG,Hybrigenics (ALHYG)
EURONEXT/ALPJT,Poujoulat (ALPJT)
EURONEXT/PFLL,Premier Farnell (PFLL)
EURONEXT/PREC,Precia (PREC)
EURONEXT/PRS,Prismaflex Intl (PRS)
EURONEXT/ICAD,Icade (ICAD)
EURONEXT/IAPL,Icap (IAPL)
EURONEXT/ALPRO,Prodware (ALPRO)
EURONEXT/PGP,Procter Gamble (PGP)
EURONEXT/ICE,Ice Concept (ICE)
EURONEXT/ICT,Ict Group (ICT)
EURONEXT/MLIDS,Ids (MLIDS)
EURONEXT/PRSO,Prosafe (PRSO)
EURONEXT/IEC,Iec Profes Media (IEC)
EURONEXT/PUB,Publicis Groupe Sa (PUB)
EURONEXT/PUN,Punch Int (PUN)
EURONEXT/PUMD,Puma Se (PUMD)
EURONEXT/PUBL,Punch Taverns (PUBL)
EURONEXT/NK,Imerys (NK)
EURONEXT/PVCSL,Pv Crystalox Solar (PVCSL)
EURONEXT/QQL,Qinetiq Group (QQL)
EURONEXT/MLIPP,Imm Paris Perle (MLIPP)
EURONEXT/IIAV,Immofinanz (IIAV)
EURONEXT/IMMO,Immobel (IMMO)
EURONEXT/GPA,Imob C Grao Para (GPA)
EURONEXT/IMTL,Imperial Tobacco (IMTL)
EURONEXT/IEML,Impax Envrmt Markt (IEML)
EURONEXT/MLIMP,Imprimerie Chirat (MLIMP)
EURONEXT/QTE,Quotium Techno (QTE)
EURONEXT/IMPL,Implanet (IMPL)
EURONEXT/RLL,Radiall (RLL)
EURONEXT/INDM,Indesit Company (INDM)
EURONEXT/INA,Inapa-inv P Gestao (INA)
EURONEXT/RRSL,Randgold Resources (RRSL)
EURONEXT/MLRAM,Raphael Michel S A (MLRAM)
EURONEXT/IFXD,Infineon Techno N (IFXD)
EURONEXT/INFY,Infosys Ltd Ads (INFY)
EURONEXT/INGA,Ing Groep N V (INGA)
EURONEXT/REAL,Realco (REAL)
EURONEXT/INN,Innelec Multimedia (INN)
EURONEXT/INSD,Inside Secure (INSD)
EURONEXT/IPH,Innate Pharma (IPH)
EURONEXT/RX,Recylex S A (RX)
EURONEXT/REA,Realdolmen (REA)
EURONEXT/RECO,Rec Silicon Asa (RECO)
EURONEXT/ALINT,Integragen (ALINT)
EURONEXT/INCO,Intel Corp (INCO)
EURONEXT/RDWL,Redrow (RDWL)
EURONEXT/IRVL,Interserve (IRVL)
EURONEXT/ISPM,Intesa Sanpaolo (ISPM)
EURONEXT/RENE,Ren (RENE)
EURONEXT/ISPRM,Intesa Sanpaolo R (ISPRM)
EURONEXT/RNO,Renault (RNO)
EURONEXT/RATOBS,Ratos B (RATOBS)
