EURONEXT/BH,Bongrain (BH)
EURONEXT/BVSL,Bovis Homes Group (BVSL)
EURONEXT/EN,Bouygues (EN)
EURONEXT/BCAM,Brasserie Cameroun (BCAM)
EURONEXT/ENNV,Bouygues Nv18 (ENNV)
EURONEXT/BPOST,Bpost (BPOST)
EURONEXT/BREB,Brederode (BREB)
EURONEXT/BREM,Brembo Spa Curneo (BREM)
EURONEXT/BNRD,Brenntag (BNRD)
EURONEXT/BRILL,Brill Kon (BRILL)
EURONEXT/BTEML,British Empire Sec (BTEML)
EURONEXT/BTGL,Btg (BTGL)
EURONEXT/BTL,Bt Group (BTL)
EURONEXT/BNZLL,Bunzl (BNZLL)
EURONEXT/BVI,Bureau Veritas (BVI)
EURONEXT/BULL,Bull (BULL)
EURONEXT/BUR,Burelle (BUR)
EURONEXT/BCM,Brunello Cucinelli (BCM)
EURONEXT/BPTYL,Bwin Party Digital (BPTYL)
EURONEXT/CWCL,Cable Wireless Com (CWCL)
EURONEXT/GCCI,C&c Group (GCCI)
EURONEXT/CAT31,Ca Toulouse 31 Cci (CAT31)
EURONEXT/CAFO,Cafom (CAFO)
EURONEXT/CABKE,Caixabank (CABKE)
EURONEXT/CAPLI,Capelli (CAPLI)
EURONEXT/CPIL,Capita Plc (CPIL)
EURONEXT/CAPCL,Capital And Count (CAPCL)
EURONEXT/ALCRB,Carbios (ALCRB)
EURONEXT/CCLL,Carnival Plc (CCLL)
EURONEXT/ALCAR,Carmat (ALCAR)
EURONEXT/CASBS,Cast Bsar (CASBS)
EURONEXT/MLOFF,Cards Off (MLOFF)
EURONEXT/CLLNL,Carillion (CLLNL)
EURONEXT/CATR,Caterpillar Inc (CATR)
EURONEXT/CASSM,Cattolica Assicur (CASSM)
EURONEXT/CAT,Catala (CAT)
EURONEXT/CBOT,Cbo Territoria (CBOT)
EURONEXT/COMW2,Cboissauvwe15(1p1) (COMW2)
EURONEXT/MLCEC,Cecurity Com (MLCEC)
EURONEXT/CGR,Cegereal (CGR)
EURONEXT/CLS1D,Celesio (CLS1D)
EURONEXT/ALCLS,Cellectis (ALCLS)
EURONEXT/CLSBS,Cellectis Bs (CLSBS)
EURONEXT/CEQO,Cermaq (CEQO)
EURONEXT/CGD,Cegid Group (CGD)
EURONEXT/ALCER,Cerep (ALCER)
EURONEXT/CFI,Cfi (CFI)
EURONEXT/CHAU,Chauf Urb (CHAU)
EURONEXT/MLCFI,China Forest (MLCFI)
EURONEXT/CHTEX,Chevron (CHTEX)
EURONEXT/CGG,Cgg (CGG)
EURONEXT/MLWIN,China Mowin (MLWIN)
EURONEXT/CHRC,Chr Hansen Hold (CHRC)
EURONEXT/CDI,Christian Dior (CDI)
EURONEXT/ENIN,4energy Invest (ENIN)
EURONEXT/ALA2M,A2micile Europe (ALA2M)
EURONEXT/MLABC,Abc Orthodontics (MLABC)
EURONEXT/ASP,A S T Groupe (ASP)
EURONEXT/AC,Accor (AC)
